code,name,country,lat,lon
AEABU,Abu al Bukhoosh,AE,25.48333,53.13333
AEAJM,Ajman,AE,25.3936557,55.4451432
AEAJP,Al Jeer Port,AE,26.03333,56.05
AEAMF,Musaffah,AE,24.38333,54.48333
AEAMU,Abu Musa,AE,25.86667,55.01667
AEARP,Ahmed Bin Rashid Port,AE,25.53333,55.55
AEAUH,Abu Dhabi,AE,24.46667,54.36667
AEDAS,Das Island,AE,25.141931,52.8775403
AEDBP,Dibba,AE,25.61667,56.26667
AEDUJ,The Palm Jumeirah,AE,25.117222,55.134444
AEDXB,Dubai,AE,25.25,55.26667
AEEND,Esnnad,AE,24.31667,54.45
AEFAT,Fateh Terminal,AE,25.5833,54.4167
AEFJR,Al Fujayrah,AE,25.11667,56.33333
AEFRP,Free Port,AE,25.4728575,55.4946245
AEHSN,Hassyan,AE,24.9,54.9
AEHTL,Hulaylah Terminal,AE,25.98333,55.93333
AEHZP,Hamriya Free Zone Port,AE,25.4728575,55.4946245
AEJAZ,Al Jazeera Port,AE,25.71667,55.8
AEJEA,Jebel Ali,AE,25.0338168,55.1366041
AEJED,Jebel Dhanna,AE,24.163675,52.597433
AEKHL,Mina Khalifa/Abu Dhabi,AE,24.83333,54.66667
AEKLB,Kalba,AE,25.06667,56.35
AEKLF,Khor al Fakkan,AE,25.33333,56.35
AEMBS,Mubarras Island,AE,24.58333,53.31667
AEMKH,Mina Khalid,AE,25.35,55.36667
AEMRP,Mina Rashid Port,AE,25.26667,55.28333
AEMSA,Mina Saqr,AE,25.96667,56.06667
AEMUB,Mubarek Terminal,AE,25.85,55.216667
AEMZD,Mina Zayed/Abu Dhabi,AE,24.51667,54.36667
AEPRA,Port Rashid,AE,25.2709307,55.265831
AEQIW,Umm al Quwain,AE,25.58333,55.58333
AEQWE,Jebel Ali Free Zone,AE,25.0,55.05
AERFA,Mirfa,AE,24.0961596,53.487065
AERKP,Rak Khor Port,AE,25.81667,55.95
AERKT,Ras al Khaimah,AE,25.78333,55.95
AERMC,Rak Maritime City,AE,25.95,56.05
AERUW,Ar Ruways,AE,24.11667,52.73333
AERWP,Ruwais Port,AE,24.1826892,52.5691482
AESHJ,Sharjah,AE,25.35,55.38333
AESID,Sadiyat Island,AE,24.53333,54.4
AEULR,Umm Al Nar,AE,24.43333,54.5
AEYAS,Yas Island,AE,24.4883715,54.6072307
AEZUR,Zirku Island,AE,24.88333,53.06667
AFDHD,Dehdadi,AF,36.65,66.98333
AFQLT,Qalat,AF,32.1,66.88333
AFRKH,Torkham,AF,34.1371589,71.0820181
AGANU,Antigua,AG,17.1037152,-61.7904505
AGBBQ,Barbuda,AG,17.1184569,-61.8448509
AGFAM,Falmouth,AG,17.01667,-61.78333
AGPHM,Parham,AG,17.08333,-61.75
AGSJO,Saint John's,AG,17.11667,-61.85
AIBLP,Blowing Point,AI,18.17504,-63.0936881
AIMBB,Meads Bay Beach,AI,18.16667,-63.13333
AIRBY,Road Bay,AI,18.2,-63.08333
AISOM,Sombrero,AI,18.6,-63.46667
ALBUT,Butrint,AL,39.75,20.01667
ALDRZ,Durrës,AL,41.313255,19.4462348
ALHMR,Himare,AL,40.13333,19.71667
ALROM,Romano Port,AL,41.36667,19.41667
ALSAR,Sarandë,AL,39.88333,20.0
ALSHG,Shëngjin,AL,41.8,19.56667
ALVOA,Vlorë,AL,40.46667,19.48333
AMJER,Jermuk,AM,39.8388185,45.6712635
AOAZZ,Ambriz,AO,-7.844312,13.106493
AOBAB,Baba,AO,-14.83333,12.23333
AOBDD,Barra do Dande,AO,-8.4714533,13.3686966
AOBDT,Baía dos Tigres,AO,-16.6,11.73333
AOBUG,Benguela,AO,-12.5790048,13.4037117
AOCAB,Cabinda,AO,-5.5576435,12.1919468
AOCPO,Capulo,AO,-7.98333,13.16667
AOCUI,Cuio,AO,-12.98333,12.98333
AODAL,Dalia,AO,-7.68333,11.78333
AODGR,Dombe Grande,AO,-12.9426137,13.0937485
AOETN,Essungo Terminal,AO,-6.33333,12.16667
AOFBY,Farta Bay,AO,-12.61667,13.2
AOFLT,Futila Terminal,AO,-5.45,12.18333
AOGIM,Gimboa,AO,-7.53333,12.16667
AOGIR,Girassol Terminal,AO,-7.63333,11.68333
AOGPO,Greater Plutonio,AO,-7.83333,12.11667
AOLAD,Luanda,AO,-8.8272699,13.2439512
AOLBT,Lombo Terminal,AO,-6.98333,12.35
AOLOB,Lobito,AO,-12.3506867,13.5464318
AOLUC,Lucira,AO,-13.8654983,12.5248067
AOMSZ,Namibe,AO,-15.195064,12.1458085
AONDD,Sumbe,AO,-11.2019365,13.8396845
AONQI,Nóqui,AO,-5.85,13.43333
AONTO,N'Zeto,AO,-7.23333,12.86667
AOPAT,Palanca Terminal,AO,-6.95,12.4
AOPBN,Porto Amboim,AO,-10.7279102,13.7578988
AOPLE,Tombua,AO,-15.81667,11.85
AOPSA,Porto Saco (Portosalazar),AO,-15.13333,12.13333
AORSN,River Sao Nicolau,AO,-14.25,12.33333
AOSTL,Sazaire Terminal,AO,-6.08333,12.38333
AOSZA,Soyo,AO,-6.1387951,12.3690144
AOTAK,Takula Terminal,AO,-5.216667,11.783333
AQABA,Aboa,AQ,-73.05,-13.41667
AQAPT,Arturo Prat,AQ,-62.5,-59.68333
AQARC,Arctowski,AQ,-62.15,-58.46667
AQART,Artigas,AQ,-62.18333,-58.9
AQBHN,Bellingshausen,AQ,-62.18333,-58.95
AQCAS,Casey Station,AQ,-66.28333,110.51667
AQCFZ,Comandante Ferraz,AQ,-62.08333,-58.38333
AQDAV,Davis Station,AQ,-68.56667,77.96667
AQDDU,Dumont d'Urville Station,AQ,-66.65,140.0
AQESC,Escudero,AQ,-62.2,-58.95
AQESP,Esperanza,AQ,-63.38333,-56.98333
AQGWL,Great Wall,AQ,-62.21667,-58.96667
AQHLY,Halley,AQ,-75.56667,-26.53333
AQJBS,Jang Bogo Station,AQ,-74.6,164.2
AQJCP,Juan Carlos Primero,AQ,-62.65,-60.38333
AQJUB,Jubany,AQ,-62.23333,-58.65
AQKHN,Kohnen,AQ,-75.0,0.06667
AQKSG,King Sejong,AQ,-62.21667,-58.78333
AQLAW,Law Base,AQ,-69.38333,76.38333
AQMAW,Mawson Station,AQ,-67.6,62.86667
AQMCM,McMurdo,AQ,-77.83333,166.66667
AQMIR,Mirny,AQ,-66.55,93.0
AQMRB,Marambio,AQ,-64.23333,-56.65
AQMZU,Mario Zucchelli,AQ,-74.68333,164.11667
AQOHG,General Bernardo O'higgins,AQ,-63.31667,-57.9
AQORC,Orcadas,AQ,-60.73333,-44.73333
AQPFS,Port Foster,AQ,-63.0,-60.56667
AQPLM,Palmer,AQ,-64.76667,-64.05
AQPRO,Progress,AQ,-69.4,76.38333
AQROT,Rothera,AQ,-67.56667,-68.11667
AQSGN,Signy,AQ,-60.71667,-45.6
AQSMT,San Martín,AQ,-68.11667,-67.1
AQSYW,Syowa,AQ,-69.0,39.58333
AQVKY,Vernadsky,AQ,-65.23333,-64.25
AQWSA,Wasa,AQ,-73.05,-13.41667
AQZGN,Zhongshan,AQ,-69.36667,76.38333
ARACF,Arrecifes,AR,-34.08333,-60.11667
ARASO,Arroyo Seco,AR,-33.13333,-60.43333
ARBHI,Bahía Blanca,AR,-38.71667,-62.28333
ARBQS,Barranqueras,AR,-27.4773912,-58.9084561
ARBUE,Buenos Aires,AR,-34.6095579,-58.3887904
ARBUI,Ingeniero Buitrago,AR,-33.35,-60.13333
ARBVC,Bella Vista,AR,-28.5,-59.05
ARCBS,Chimbas,AR,-31.48333,-68.53333
ARCDL,Candelaria,AR,-27.45,-55.75
ARCHL,Choele Choel,AR,-39.2932355,-65.6615828
ARCHO,Chilecito,AR,-29.16667,-67.5
ARCLC,Caleta Córdoba,AR,-45.73333,-67.06667
ARCMP,Campana,AR,-34.15,-58.95
ARCNQ,Corrientes,AR,-27.4687004,-58.8311982
ARCOL,Colón,AR,-32.21667,-58.13333
ARCOU,Concepción del Uruguay,AR,-32.48333,-58.23333
ARCRD,Comodoro Rivadavia,AR,-45.8632024,-67.4752615
ARCRY,Colonia Caroya,AR,-31.0220578,-64.0617445
ARCSA,Cabo San Antonio,AR,-36.03333,-56.56667
ARCUA,Cuatreros/Bahia Blanca,AR,-38.7491885,-62.3813474
ARCVI,Caleta Olivia,AR,-46.442117,-67.5175069
ARDGU,Del Guazu,AR,-33.9,-58.86667
ARDME,Diamante,AR,-32.06667,-60.65
ARDSU,Dock Sur,AR,-34.65,-58.33333
ARFMA,Formosa,AR,-26.1852983,-58.1744976
ARGEO,Agrelo,AR,-33.11667,-68.88333
ARGHU,Gualeguaychú,AR,-33.01667,-58.51667
ARIBY,Ibicuy,AR,-33.73333,-59.16667
ARINW,Ingeniero White/Bahia Blanca,AR,-38.78333,-62.26667
ARIQO,Coquimbito,AR,-32.96667,-68.75
ARJLS,Jose Leon Suarez,AR,-34.5283329,-58.5771687
ARLAV,Lavalle,AR,-28.2,-65.13333
ARLCU,Lujan de Cuyo,AR,-33.05,-68.86667
ARLPG,La Plata,AR,-34.85,-57.88333
ARLPM,La Paz,AR,-33.46667,-67.55
ARLPS,Las Palmas,AR,-34.646703,-59.4023843
ARLUJ,Luján,AR,-34.56667,-59.1
ARLZG,Luzuriaga,AR,-32.95,-68.81667
ARMDQ,Mar del Plata,AR,-38.05,-57.53333
ARNEC,Necochea,AR,-38.5545494,-58.7392624
ARNOS,Molinos,AR,-25.41667,-66.31667
AROVI,Olavarría,AR,-36.88333,-60.33333
AROYA,Goya,AR,-29.1444046,-59.2649825
AROYO,Tres Arroyos,AR,-38.38333,-60.28333
ARPAL,Puerto Alumbrera,AR,-32.65,-60.75
ARPBG,Puerto Belgrano/Bahia Blanca,AR,-38.8778269,-62.090821
ARPCO,Punta Colorada,AR,-41.7,-65.0
ARPCY,Pilcomayo,AR,-25.3725829,-57.6519799
ARPEL,Puerto Eldorado,AR,-26.35,-54.68333
ARPGV,Puerto Galvan/Bahia Blanca,AR,-38.783333,-62.3
ARPLA,Puerto Lavalle,AR,-29.01667,-59.18333
ARPLO,Punta Loyola,AR,-51.6094242,-69.010354
ARPME,Punta Medanos,AR,-36.83333,-56.66667
ARPMY,Puerto Madryn,AR,-42.75,-65.03333
ARPNL,Puerto Nacional/Bahia Blanca,AR,-38.71667,-62.28333
ARPP9,Pablo Podestá,AR,-34.6,-58.51667
ARPQU,Punta Quilla,AR,-50.116389,-68.412222
ARPRA,Paraná,AR,-31.73333,-60.53333
ARPRS,Puerto Rosales/Bahia Blanca,AR,-38.93333,-62.06667
ARPSS,Posadas,AR,-27.3664824,-55.894295
ARPUB,Puerto Borghi,AR,-32.7909688,-60.7121882
ARPUD,Puerto Deseado,AR,-47.75,-65.9
ARPWA,Puerto Wanda,AR,-25.96667,-54.6
ARQBR,Quebracho/San Lorenzo,AR,-32.65,-60.71667
ARQQN,Quequén,AR,-38.53333,-58.7
ARRAM,Ramallo,AR,-33.4849394,-60.0044551
ARRFO,Rosario de la Frontera,AR,-25.8,-64.96667
ARRGA,Río Grande,AR,-53.78333,-67.7
ARRGL,Río Gallegos,AR,-51.63333,-69.21667
ARRIC,Rio Cullen,AR,-52.8988099,-68.3549211
ARRIV,Rivadavia,AR,-33.18333,-68.46667
ARROC,Puerto Ingeniero M. Rocca,AR,-34.85,-57.93333
ARROS,Rosario,AR,-32.95,-60.65
ARRSF,Resinfor,AR,-32.65,-60.73333
ARRWO,Rawson,AR,-43.3,-65.1
ARRZA,Santa Cruz,AR,-50.01667,-68.41667
ARSAE,San Antonio Este,AR,-40.8035019,-64.8807966
ARSAL,Salto,AR,-34.2917828,-60.2544888
ARSAN,Santa Ana,AR,-27.33333,-55.58333
ARSCA,San Carlos,AR,-33.76667,-69.03333
ARSFE,San Fernando,AR,-34.4471919,-58.5701505
ARSFN,Santa Fe,AR,-31.6,-60.68333
ARSIG,San Ignacio,AR,-27.26667,-55.56667
ARSLO,San Lorenzo,AR,-32.65,-60.71667
ARSMA,San Martin,AR,-32.71667,-60.73333
ARSMR,San Martin,AR,-33.06667,-68.46667
ARSNS,San Nicolás de los Arroyos,AR,-33.33333,-60.23333
ARSPD,San Pedro,AR,-33.68333,-59.16667
ARSSJ,San Salvador de Jujuy,AR,-24.18333,-65.3
ARSSN,San Sebastián,AR,-53.3,-68.46667
ARSTA,Santa Rosa,AR,-33.25,-68.15
ARTIM,Timbúes,AR,-32.63333,-60.78333
ARTUC,Tucumán,AR,-26.81667,-65.21667
ARTUN,Tunuyan,AR,-33.56667,-69.01667
ARULA,San Julian,AR,-49.3,-67.71667
ARURD,Urdurrain,AR,-32.68333,-58.88333
ARUSH,Ushuaia,AR,-54.8,-68.3
ARVCN,Villa Constitución,AR,-33.23333,-60.33333
ARVHE,Villa Hernandarias,AR,-31.23333,-59.98333
ARVLO,Vicente López,AR,-34.51667,-58.48333
ARVMD,Villa Mercedes,AR,-30.1065873,-68.7009333
ARVTT,Villa del Totoral,AR,-30.7046103,-64.068164
ARXPD,San Pedro,AR,-24.233333,-64.866667
ARZAE,Zárate,AR,-34.1,-59.03333
ASPPG,Pago Pago,AS,-14.279444,-170.700556
AT7PZ,Prinzersdorf,AT,48.2,15.51667
ATATK,Paternion,AT,46.7,13.63333
ATATN,Asten,AT,48.21667,14.4
ATAWH,Altenwörth,AT,48.38333,15.85
ATBFS,Bischofshofen,AT,47.41667,13.21667
ATBNN,Hobersbrunn,AT,48.5,16.56667
ATBOE,Böhlerwenk,AT,47.98333,14.75
ATBRI,Engabrunn,AT,48.45,15.75
ATBRZ,Bregenz,AT,47.5,9.76667
ATDFC,Engerwitzdorf,AT,48.35,14.45
ATDKZ,Deutschkreutz,AT,47.6,16.63333
ATDOF,Hadersdorf,AT,48.45,15.71667
ATDRA,Drasenhofen,AT,48.7560897,16.6464924
ATDRO,Dross,AT,48.45,15.56667
ATDUE,Dürnstein,AT,48.38333,15.51667
ATDWA,Deutsch Wagram,AT,48.3,16.56667
ATEBR,Ebreichsdorf,AT,47.95,16.4
ATEIN,Hoflein,AT,48.06667,16.78333
ATEPD,Erpersdorf,AT,48.33333,15.9
ATERL,Erl,AT,47.66667,12.16667
ATERM,Vordernberg,AT,47.46667,15.0
ATERO,Engelmannsbrunn,AT,48.45,15.88333
ATERR,Dobermannsdorf,AT,48.6,16.81667
ATETZ,Rietz,AT,47.28333,11.05
ATEWD,Eibiswald,AT,46.6849442,15.2456089
ATFBZ,Sankt Stefan ob Stainz,AT,46.91667,15.25
ATFG7,Achau,AT,48.0803418,16.3865508
ATFHR,Fehring,AT,46.93333,16.0
ATFNA,Freudenau,AT,48.18333,16.43333
ATFPS,Fulpmes,AT,47.15,11.35
ATFSU,Faistenau,AT,47.76667,13.21667
ATGA6,Gamlitz,AT,46.71667,15.55
ATGDN,Gmunden,AT,47.91667,13.8
ATGFS,Greifenstein,AT,48.33333,16.23333
ATGGU,Oggau,AT,47.83333,16.66667
ATGHH,Haugsdorf,AT,48.7,16.06667
ATGHJ,Krustetten,AT,48.3606658,15.6635388
ATGRN,Grein,AT,48.21667,14.83333
ATGSN,Gutenstein,AT,47.86667,15.88333
ATHKM,Hadersdorf-Kammern,AT,48.45,15.71667
ATIEG,Limberg,AT,48.58333,15.86667
ATITN,Hausleiten,AT,48.38333,16.1
ATJDD,Judendorf,AT,47.11667,15.35
ATJPS,Japons,AT,48.78333,15.56667
ATKAM,Kammern im Liesingtal,AT,47.4,14.9
ATKFD,Knittelfeld,AT,47.2,14.81667
ATKMB,Krummnussbaum,AT,48.21667,15.16667
ATKTT,Kematen in Tirol,AT,47.25,11.26667
ATLKN,Falkenstein,AT,48.720833,16.585833
ATLTS,Leutschach,AT,46.66667,15.46667
ATLTX,Hainfeld,AT,48.03333,15.76667
ATLUA,Lembach,AT,48.48333,13.88333
ATLZD,Langenzersdorf,AT,48.3,16.35
ATMAB,Marbach an der Donau,AT,48.21667,15.15
ATMAN,Manning,AT,48.08333,13.66667
ATMBS,Morbisch am See,AT,47.75,16.66667
ATMKA,Markt Allhau,AT,47.23333,16.08333
ATMKC,Mitterkirchen,AT,48.18333,14.7
ATNAD,Neuhofen an der Ybbs,AT,48.05,14.85
ATND2,Nickelsdorf,AT,47.93333,17.06667
ATNFN,Neufelden,AT,48.48333,13.98333
ATNGG,Neudegg,AT,48.48333,15.88333
ATNNN,Donnerskirchen,AT,47.9,16.63333
ATNT9,Muthmannsdorf,AT,47.83333,16.1
ATNUZ,Nüziders,AT,47.18333,9.8
ATOBU,Oberneukirchen,AT,48.4645137,14.226266
ATOSH,Ottensheim,AT,48.33333,14.18333
ATPAS,Podersdorf am See,AT,47.85,16.83333
ATPBU,Persenbeug,AT,48.18333,15.06667
ATPET,Petzenkirchen,AT,48.13333,15.15
ATRAD,Radstadt,AT,47.38333,13.45
ATREG,Regau,AT,48.08333,14.13333
ATRHN,Ranshofen,AT,48.23333,13.0
ATRHR,Rohrau,AT,48.06667,16.85
ATRRF,Ruhrsdorf,AT,48.4,15.5
ATRTV,Gallbrunn,AT,48.0545255,16.6422945
ATSAG,Schutzen am Gebirge,AT,47.85,16.61667
ATSAK,Sankt Aegidi,AT,48.48333,13.75
ATSFT,Senftenberg,AT,48.43333,15.55
ATSGS,Sankt Georgen bei Salzburg,AT,47.98333,12.88333
ATSK3,Sankt Margrethen,AT,46.63333,14.38333
ATSMK,Schönau im Mühlkreis,AT,48.38333,14.73333
ATSMR,Sankt Margarethen an der Raab,AT,47.05,15.75
ATSPG,Spannberg,AT,48.45,16.73333
ATSPZ,Spitz,AT,48.36667,15.41667
ATSSS,Steinberg,AT,47.48333,16.48333
ATST6,Straden,AT,46.8,15.86667
ATSTD,Steeg,AT,47.2425,10.294444
ATSUH,Sankt Ulrich,AT,48.6,16.76667
ATSUS,Steinhaus,AT,48.11667,14.01667
ATSVM,Sankt Veit im Mühlkreis,AT,48.46667,14.15
ATSWH,Gross-Schweinbarth,AT,48.4,16.61667
ATSXA,Bernhardsthal,AT,48.68333,16.86667
ATTAM,Tamsweg,AT,47.13333,13.8
ATTEN,Hausmannstatten,AT,46.98333,15.5
ATTFS,Terfens,AT,47.31667,11.65
ATTHS,Theiss,AT,48.38333,15.68333
ATTKP,Taufkirchen an der Pram,AT,48.41667,13.53333
ATTMR,Traismauer,AT,48.33333,15.73333
ATTTL,Schrattenthal,AT,48.7,15.9
ATVEL,Velden,AT,46.61667,14.05
ATWDF,Weitendorf,AT,46.88333,15.46667
ATWEU,Weinburg,AT,48.1,15.51667
ATWSE,Wallsee,AT,48.16667,14.71667
ATWUL,Wulkaprodersdorf,AT,47.8,16.5
